date,start_time,end_time,class_type,class_name,professor_name,grade,label,class_code,major
화,16:30,17:45,전공필수(04),일본근현대문학의흐름,손지연,2,JP,JP251-00,일본어학과
목,16:30,17:45,전공필수(04),일본근현대문학의흐름,손지연,2,JP,JP251-00,일본어학과
금,10:30,13:15,전공필수(04),일본어학의이해,오미선,2,JP,JP231-00,일본어학과
화,10:30,11:45,전공선택(05),일본대중문화론,김태경,3,JP,JP374-00,일본어학과
목,10:30,11:45,전공선택(05),일본대중문화론,김태경,3,JP,JP374-00,일본어학과
금,10:30,13:15,전공선택(05),일본문학과영화,손지연,4,JP,JP475-00,일본어학과
화,13:30,14:45,전공선택(05),일본애니메이션론,김태경,2,JP,JP273-00,일본어학과
목,13:30,14:45,전공선택(05),일본애니메이션론,김태경,2,JP,JP273-00,일본어학과
화,13:30,14:45,전공선택(05),일본어강독1,이재훈,1,JP,JP113-00,일본어학과
목,13:30,14:45,전공선택(05),일본어강독1,이재훈,1,JP,JP113-00,일본어학과
화,13:30,14:45,전공선택(05),일본어강독1,이해미,1,JP,JP113-01,일본어학과
목,13:30,14:45,전공선택(05),일본어강독1,이해미,1,JP,JP113-01,일본어학과
월,12:00,13:15,전공선택(05),일본어대조연구도가사키 ,유이치,4,JP,JP481-00,일본어학과
수,12:00,13:15,전공선택(05),일본어대조연구도가사키 ,유이치,4,JP,JP481-00,일본어학과
월,13:30,14:45,전공선택(05),일본어문서작성,송경주,4,JP,JP411-00,일본어학과
수,13:30,14:45,전공선택(05),일본어문서작성,송경주,4,JP,JP411-00,일본어학과
월,13:30,14:45,전공선택(05),일본어어휘연습,장윤아,3,JP,JP331-00,일본어학과
수,13:30,14:45,전공선택(05),일본어어휘연습,장윤아,3,JP,JP331-00,일본어학과
월,12:00,13:15,전공선택(05),일본어작문1하타나,카아이,2,JP,JP213-00,일본어학과
수,12:00,13:15,전공선택(05),일본어작문1하타나,카아이,2,JP,JP213-00,일본어학과
화,10:30,11:45,전공선택(05),일본어표현문법도가사키 ,유이치,2,JP,JP233-00,일본어학과
목,10:30,11:45,전공선택(05),일본어표현문법도가사키 ,유이치,2,JP,JP233-00,일본어학과
월,09:00,10:15,전공선택(05),일본역사와사상,Teshima Takahiro,4,JP,JP476-00,일본어학과
수,09:00,10:15,전공선택(05),일본역사와사상,Teshima Takahiro,4,JP,JP476-00,일본어학과
월,15:00,16:15,전공선택(05),일본현대사회와문화,이재훈,2,JP,JP272-00,일본어학과
수,15:00,16:15,전공선택(05),일본현대사회와문화,이재훈,2,JP,JP272-00,일본어학과
월,09:00,10:15,전공선택(05),중급일본어회화1,NISHINO ERIKO,2,JP,JP211-00,일본어학과
수,09:00,10:15,전공선택(05),중급일본어회화1,NISHINO ERIKO,2,JP,JP211-00,일본어학과
월,09:00,10:15,전공선택(05),중급일본어회화1,KITAUCHI DAITO,2,JP,JP211-02,일본어학과
수,09:00,10:15,전공선택(05),중급일본어회화1,KITAUCHI DAITO,2,JP,JP211-02,일본어학과
월,10:30,11:45,전공선택(05),초급일본어회화1,KITAUCHI DAITO,1,JP,JP111-00,일본어학과
수,10:30,11:45,전공선택(05),초급일본어회화1,KITAUCHI DAITO,1,JP,JP111-00,일본어학과
월,10:30,11:45,전공선택(05),초급일본어회화1,하타나카아이,1,JP,JP111-01,일본어학과
수,10:30,11:45,전공선택(05),초급일본어회화1,하타나카아이,1,JP,JP111-01,일본어학과
월,10:30,11:45,전공선택(05),초급일본어회화1,NISHINO ERIKO,1,JP,JP111-02,일본어학과
수,10:30,11:45,전공선택(05),초급일본어회화1,NISHINO ERIKO,1,JP,JP111-02,일본어학과
금,13:30,16:15,전공선택(05),캡스톤디자인_일본문화컨텐츠제작,이창수,3,JP,JP378-00,일본어학과
화,15:00,16:45,전공선택(05),한일문학번역과출판이론의실제,손지연,3,JP,JP380-00,일본어학과
목,15:00,16:45,전공선택(05),한일문학번역과출판이론의실제,손지연,3,JP,JP380-00,일본어학과
화,12:00,13:15,전공선택(05),한일통번역연습,이해미,3,JP,JP313-00,일본어학과
목,12:00,13:15,전공선택(05),한일통번역연습,이해미,3,JP,JP313-00,일본어학과
월,16:30,17:45,전공기초(11),일본어와한자,Teshima Takahiro,2,JP,JP232-00,일본어학과
수,16:30,17:45,전공기초(11),일본어와한자,Teshima Takahiro,2,JP,JP232-00,일본어학과
화,09:00,10:15,전공기초(11),일본역사와문화,이창수,2,JP,JP271-00,일본어학과
목,09:00,10:15,전공기초(11),일본역사와문화,이창수,2,JP,JP271-00,일본어학과
목,10:30,13:15,교직전선(20),교과교수법(외국어),노희진,3,EDU,EDU3359-G00,교직
화,13:30,16:15,교직전선(20),교과교육론(일본어),Teshima Takahiro,3,EDU,EDU3193-G00,교직
월,12:00,13:15,전공필수(04),중국어의사소통의이해,박찬욱,4,CHI,CHI419-00,중국어학과
수,12:00,13:15,전공필수(04),중국어의사소통의이해,박찬욱,4,CHI,CHI419-00,중국어학과
금,10:30,13:15,전공필수(04),중국언어의이해,배재석,2,CHI,CHI201-00,중국어학과
월,12:00,13:15,전공필수(04),중국언어의이해,신근영,2,CHI,CHI201-01,중국어학과
수,12:00,13:15,전공필수(04),중국언어의이해,신근영,2,CHI,CHI201-01,중국어학과
월,15:00,16:15,전공필수(04),중국중근세문학사,민관동,3,CHI,CHI312-00,중국어학과
수,15:00,16:15,전공필수(04),중국중근세문학사,민관동,3,CHI,CHI312-00,중국어학과
화,10:30,11:45,전공선택(05),고급중국어회화1,WANG SIYU,3,CHI,CHI303-00,중국어학과
목,10:30,11:45,전공선택(05),고급중국어회화1,WANG SIYU,3,CHI,CHI303-00,중국어학과
화,10:30,11:45,전공선택(05),고급중국어회화1,LIANG YAOZHONG,3,CHI,CHI303-01,중국어학과
목,10:30,11:45,전공선택(05),고급중국어회화1,LIANG YAOZHONG,3,CHI,CHI303-01,중국어학과
월,10:30,11:45,전공선택(05),응용중국어,신근영,4,CHI,CHI420-00,중국어학과
수,10:30,11:45,전공선택(05),응용중국어,신근영,4,CHI,CHI420-00,중국어학과
월,16:30,17:45,전공선택(05),중국고전산문강독,노상균,4,CHI,CHI409-00,중국어학과
수,16:30,17:45,전공선택(05),중국고전산문강독,노상균,4,CHI,CHI409-00,중국어학과
화,15:00,16:15,전공선택(05),중국고전시가강독,노상균,3,CHI,CHI315-00,중국어학과
목,15:00,16:15,전공선택(05),중국고전시가강독,노상균,3,CHI,CHI315-00,중국어학과
월,10:30,11:45,전공선택(05),중국근현대사,주재우,2,CHI,CHI209-00,중국어학과
수,10:30,11:45,전공선택(05),중국근현대사,주재우,2,CHI,CHI209-00,중국어학과
월,12:00,13:15,전공선택(05),중국문화의이해,이수연,1,CHI,CHI107-00,중국어학과
수,12:00,13:15,전공선택(05),중국문화의이해,이수연,1,CHI,CHI107-00,중국어학과
월,12:00,13:15,전공선택(05),중국문화의이해,김승현,1,CHI,CHI107-01,중국어학과
수,12:00,13:15,전공선택(05),중국문화의이해,김승현,1,CHI,CHI107-01,중국어학과
화,15:00,16:15,전공선택(05),중국시사강론,주재우,3,CHI,CHI314-00,중국어학과
목,15:00,16:15,전공선택(05),중국시사강론,주재우,3,CHI,CHI314-00,중국어학과
화,12:00,13:15,전공선택(05),중국어문법2,박찬욱,3,CHI,CHI302-00,중국어학과
목,12:00,13:15,전공선택(05),중국어문법2,박찬욱,3,CHI,CHI302-00,중국어학과
월,15:00,16:15,전공선택(05),중국현대문학감상,이수연,4,CHI,CHI415-00,중국어학과
수,15:00,16:15,전공선택(05),중국현대문학감상,이수연,4,CHI,CHI415-00,중국어학과
화,15:00,16:15,전공선택(05),중급중국어강독,문병순,2,CHI,CHI211-00,중국어학과
목,15:00,16:15,전공선택(05),중급중국어강독,문병순,2,CHI,CHI211-00,중국어학과
화,12:00,13:15,전공선택(05),중급중국어회화1,WANG SIYU,2,CHI,CHI203-00,중국어학과
목,12:00,13:15,전공선택(05),중급중국어회화1,WANG SIYU,2,CHI,CHI203-00,중국어학과
화,12:00,13:15,전공선택(05),중급중국어회화1,LIANG YAOZHONG,2,CHI,CHI203-01,중국어학과
목,12:00,13:15,전공선택(05),중급중국어회화1,LIANG YAOZHONG,2,CHI,CHI203-01,중국어학과
화,12:00,13:15,전공선택(05),초급중국어회화1,김희성,1,CHI,CHI103-00,중국어학과
목,12:00,13:15,전공선택(05),초급중국어회화1,김희성,1,CHI,CHI103-00,중국어학과
월,15:00,16:15,전공선택(05),초급중국어회화1,김승현,1,CHI,CHI103-01,중국어학과
수,15:00,16:15,전공선택(05),초급중국어회화1,김승현,1,CHI,CHI103-01,중국어학과
월,16:30,17:45,전공선택(05),초급중국어회화1,배우정,1,CHI,CHI103-02,중국어학과
수,16:30,17:45,전공선택(05),초급중국어회화1,배우정,1,CHI,CHI103-02,중국어학과
화,10:30,11:45,전공선택(05),학술논문캡스톤디자인(중국어)1,박찬욱,4,CHI,CHI417-00,중국어학과
목,10:30,11:45,전공선택(05),학술논문캡스톤디자인(중국어)1,박찬욱,4,CHI,CHI417-00,중국어학과
월,15:00,16:15,전공선택(05),한문강독,문병순,2,CHI,CHI101-00,중국어학과
수,15:00,16:15,전공선택(05),한문강독,문병순,2,CHI,CHI101-00,중국어학과
월,10:30,11:45,전공기초(11),한자와한자어,문병순,1,CHI,CHI105-00,중국어학과
수,10:30,11:45,전공기초(11),한자와한자어,문병순,1,CHI,CHI105-00,중국어학과
화,10:30,11:45,전공기초(11),한자와한자어,문병순,1,CHI,CHI105-01,중국어학과
목,10:30,11:45,전공기초(11),한자와한자어,문병순,1,CHI,CHI105-01,중국어학과
금,15:00,17:45,교직전선(20),교과교육론(중국어),배재석,3,EDU,EDU3195-G00,교직
월,09:00,10:15,전공필수(04),러시아어회화5,Budnikova Galina Aleksandrovna,3,RU,RU3101-00,러시아어학과
수,09:00,10:15,전공필수(04),러시아어회화5,Budnikova Galina Aleksandrovna,3,RU,RU3101-00,러시아어학과
월,09:00,10:15,전공필수(04),러시아어회화5,Brichenkova Elena,3,RU,RU3101-01,러시아어학과
수,09:00,10:15,전공필수(04),러시아어회화5,Brichenkova Elena,3,RU,RU3101-01,러시아어학과
화,13:30,14:45,전공선택(05),러시아문학과사회,안지영,2,RU,RU2202-00,러시아어학과
목,13:30,14:45,전공선택(05),러시아문학과사회,안지영,2,RU,RU2202-00,러시아어학과
화,12:00,13:15,전공선택(05),러시아문학과영화,안병용,3,RU,RU3202-00,러시아어학과
목,12:00,13:15,전공선택(05),러시아문학과영화,안병용,3,RU,RU3202-00,러시아어학과
월,16:30,17:45,전공선택(05),러시아문학의이해,윤우섭,2,RU,RU2201-00,러시아어학과
수,16:30,17:45,전공선택(05),러시아문학의이해,윤우섭,2,RU,RU2201-00,러시아어학과
월,10:30,11:45,전공선택(05),러시아미디어읽기,한현희,4,RU,RU4102-00,러시아어학과
수,10:30,11:45,전공선택(05),러시아미디어읽기,한현희,4,RU,RU4102-00,러시아어학과
월,10:30,11:45,전공선택(05),러시아어1,안지영,1,RU,RU1103-00,러시아어학과
수,10:30,11:45,전공선택(05),러시아어1,안지영,1,RU,RU1103-00,러시아어학과
월,10:30,11:45,전공선택(05),러시아어1,안병용,1,RU,RU1103-01,러시아어학과
수,10:30,11:45,전공선택(05),러시아어1,안병용,1,RU,RU1103-01,러시아어학과
월,15:00,16:15,전공선택(05),러시아어1,윤우섭,1,RU,RU1103-02,러시아어학과
수,15:00,16:15,전공선택(05),러시아어1,윤우섭,1,RU,RU1103-02,러시아어학과
금,09:00,11:45,전공선택(05),러시아어문법1,Budnikova Galina Aleksandrovna,2,RU,RU2103-00,러시아어학과
월,13:30,14:45,전공선택(05),러시아어문화읽기,안병용,2,RU,RU2304-00,러시아어학과
수,13:30,14:45,전공선택(05),러시아어문화읽기,안병용,2,RU,RU2304-00,러시아어학과
화,09:00,10:15,전공선택(05),러시아어회화1,Budnikova Galina Aleksandrovna,1,RU,RU1101-00,러시아어학과
목,09:00,10:15,전공선택(05),러시아어회화1,Budnikova Galina Aleksandrovna,1,RU,RU1101-00,러시아어학과
화,09:00,10:15,전공선택(05),러시아어회화1,Brichenkova Elena,1,RU,RU1101-01,러시아어학과
목,09:00,10:15,전공선택(05),러시아어회화1,Brichenkova Elena,1,RU,RU1101-01,러시아어학과
화,10:30,11:45,전공선택(05),러시아어회화1,Brichenkova Elena,1,RU,RU1101-02,러시아어학과
목,10:30,11:45,전공선택(05),러시아어회화1,Brichenkova Elena,1,RU,RU1101-02,러시아어학과
화,16:30,17:45,전공선택(05),러시아어회화3,Budnikova Galina Aleksandrovna,2,RU,RU2101-00,러시아어학과
목,16:30,17:45,전공선택(05),러시아어회화3,Budnikova Galina Aleksandrovna,2,RU,RU2101-00,러시아어학과
화,16:30,17:45,전공선택(05),러시아어회화3,Brichenkova Elena,2,RU,RU2101-01,러시아어학과
목,16:30,17:45,전공선택(05),러시아어회화3,Brichenkova Elena,2,RU,RU2101-01,러시아어학과
월,12:00,13:15,전공선택(05),러시아학입문,권세은,1,RU,RU1301-00,러시아어학과
수,12:00,13:15,전공선택(05),러시아학입문,권세은,1,RU,RU1301-00,러시아어학과
목,15:00,17:45,전공선택(05),캡스톤디자인(러시아연구),권세은,4,RU,RU4402-00,러시아어학과
월,13:30,14:45,전공선택(05),한국과러시아,권세은,3,RU,RU3304-00,러시아어학과
수,13:30,14:45,전공선택(05),한국과러시아,권세은,3,RU,RU3304-00,러시아어학과
월,12:00,13:15,전공선택(05),한러통번역연습,한현희,4,RU,RU4104-00,러시아어학과
수,12:00,13:15,전공선택(05),한러통번역연습,한현희,4,RU,RU4104-00,러시아어학과
화,10:30,11:45,전공선택(05),현대러시아의이해,권세은,3,RU,RU3301-00,러시아어학과
목,10:30,11:45,전공선택(05),현대러시아의이해,권세은,3,RU,RU3301-00,러시아어학과
월,16:30,17:45,전공필수(04),라틴아메리카소설,황수현,3,ESP,ESP328-00,스페인어학과
수,16:30,17:45,전공필수(04),라틴아메리카소설,황수현,3,ESP,ESP328-00,스페인어학과
화,16:30,17:45,전공필수(04),스페인어학개론,임효상,3,ESP,ESP319-00,스페인어학과
목,16:30,17:45,전공필수(04),스페인어학개론,임효상,3,ESP,ESP319-00,스페인어학과
화,10:30,11:45,전공선택(05),라티노문화와정체성,박정원,3,ESP,ESP334-00,스페인어학과
목,10:30,11:45,전공선택(05),라티노문화와정체성,박정원,3,ESP,ESP334-00,스페인어학과
화,15:00,16:15,전공선택(05),라틴아메리카역사와문화2,송영복,3,ESP,ESP318-00,스페인어학과
목,15:00,16:15,전공선택(05),라틴아메리카역사와문화2,송영복,3,ESP,ESP318-00,스페인어학과
화,13:30,14:45,전공선택(05),스페인문학개론,권미선,2,ESP,ESP222-00,스페인어학과
목,13:30,14:45,전공선택(05),스페인문학개론,권미선,2,ESP,ESP222-00,스페인어학과
화,15:00,16:15,전공선택(05),스페인어A1문법,박정원,1,ESP,ESP101-00,스페인어학과
목,15:00,16:15,전공선택(05),스페인어A1문법,박정원,1,ESP,ESP101-00,스페인어학과
화,15:00,16:15,전공선택(05),스페인어A1문법,권미선,1,ESP,ESP101-01,스페인어학과
목,15:00,16:15,전공선택(05),스페인어A1문법,권미선,1,ESP,ESP101-01,스페인어학과
수,13:30,14:45,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-00,스페인어학과
월,13:30,14:45,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-00,스페인어학과
월,13:30,14:45,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-01,스페인어학과
수,13:30,14:45,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-01,스페인어학과
월,15:00,16:15,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-02,스페인어학과
수,15:00,16:15,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-02,스페인어학과
월,09:00,10:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-00,스페인어학과
수,09:00,10:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-00,스페인어학과
월,12:00,13:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-01,스페인어학과
수,12:00,13:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-01,스페인어학과
월,15:00,16:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-02,스페인어학과
수,15:00,16:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-02,스페인어학과
화,10:30,11:45,전공선택(05),스페인어B1문법,정원석,2,ESP,ESP203-00,스페인어학과
목,10:30,11:45,전공선택(05),스페인어B1문법,정원석,2,ESP,ESP203-00,스페인어학과
화,09:00,10:15,전공선택(05),스페인어B2-A회화,Merce Mundet Tarrago,3,ESP,ESP309-00,스페인어학과
목,09:00,10:15,전공선택(05),스페인어B2-A회화,Merce Mundet Tarrago,3,ESP,ESP309-00,스페인어학과
화,12:00,13:15,전공선택(05),스페인어B2-A회화,Merce Mundet Tarrago,3,ESP,ESP309-01,스페인어학과
목,12:00,13:15,전공선택(05),스페인어B2-A회화,Merce Mundet Tarrago,3,ESP,ESP309-01,스페인어학과
화,12:00,13:15,전공선택(05),스페인어B2-A회화,Armando Daniel Bazan,3,ESP,ESP309-02,스페인어학과
목,12:00,13:15,전공선택(05),스페인어B2-A회화,Armando Daniel Bazan,3,ESP,ESP309-02,스페인어학과
월,13:30,14:45,전공선택(05),스페인어Lab1,권미선,2,ESP,ESP213-00,스페인어학과
수,13:30,14:45,전공선택(05),스페인어Lab1,권미선,2,ESP,ESP213-00,스페인어학과
월,10:30,11:45,전공선택(05),스페인어산문강독,김보영,2,ESP,ESP239-00,스페인어학과
수,10:30,11:45,전공선택(05),스페인어산문강독,김보영,2,ESP,ESP239-00,스페인어학과
월,10:30,11:45,전공선택(05),스페인어시와에세이,황수현,3,ESP,ESP324-00,스페인어학과
수,10:30,11:45,전공선택(05),스페인어시와에세이,황수현,3,ESP,ESP324-00,스페인어학과
화,13:30,14:45,전공선택(05),스페인어작문,정원석,3,ESP,ESP333-00,스페인어학과
목,13:30,14:45,전공선택(05),스페인어작문,정원석,3,ESP,ESP333-00,스페인어학과
금,13:30,14:45,전공선택(05),캡스톤디자인히스패닉세계연구,송영복,4,ESP,ESP438-00,스페인어학과
금,15:00,16:15,전공선택(05),캡스톤디자인히스패닉세계연구,송영복,4,ESP,ESP438-00,스페인어학과
월,13:30,14:45,전공선택(05),통상무역스페인어,임보영,4,ESP,ESP431-00,스페인어학과
수,13:30,14:45,전공선택(05),통상무역스페인어,임보영,4,ESP,ESP431-00,스페인어학과
